Day,Type,Product,Qty,Range,Stores
Sunday,Pastasallad,Kyckling mangocurry,829,678~1037,147
Sunday,Pastasallad,Kyckling & Salladsost,656,543~839,143
Sunday,Wraps,Kyckling Curry,634,514~810,144
Sunday,Wraps,Kyckling Bacon,600,483~763,142
Sunday,Fralla,Ost & Skinka,589,478~753,138
Sunday,Wraps,Caesar Kyckling,574,469~737,140
Sunday,Pastasallad,Räkor,558,447~717,139
Sunday,Fralla,Ost,471,379~612,136
Sunday,Wraps,Sweet Chili,422,345~565,132
Sunday,Baguette,Salami & Brieost,406,309~525,140
Sunday,Pastasallad,Ost & Skinka,382,305~494,113
Sunday,Baguette,Skagen,347,264~465,136
Sunday,Hönökaka,Ost & Skinka,332,253~434,116
Sunday,Baguette,Ost & Skinka,316,253~429,132
Sunday,Hönökaka,Ost,316,240~413,118
Sunday,Baguette,Kyckling Curry,302,231~419,137
Sunday,Hönökaka,Ost & Salami,274,217~364,100
Sunday,Sandwich,Clubsandwich,257,188~364,132
Sunday,Sandwich,Kyckling Curry,239,172~339,130
Sunday,Sandwich,Räkor,233,168~326,123
Sunday,Grönsallad,Caesarsallad,228,178~294,74
Sunday,Sandwich,Bacon & Äggröra,213,150~300,115
Sunday,XL Frallor,Ost & Skinka,198,148~258,76
Sunday,XL Frallor,Grovfralla Kalkon & Färskost,190,136~247,79
Sunday,Sandwich,Ägg & Avocadokräm,168,108~238,106
Sunday,Pastasallad,Kyckling kebab,145,101~187,64
Sunday,XL Frallor,Ost,124,90~176,65
Sunday,Pastasallad,Italiensk kyckling,111,82~148,46
Sunday,Pastasallad,Falafel,89,55~115,49
Sunday,Pastasallad,Asian Surf & Turf-Nudelsallad,80,59~109,42
Sunday,Pastasallad,Hawai Kyckling avocado,60,46~83,28
Sunday,Pastasallad,Havana Sweetchili kyckling,52,39~72,26
Sunday,Räkmacka Liten,Räkmacka liten,34,24~44,16
Sunday,Glutenfri Frallor,Glutenfri Ost & Skinka(endast söndagsbeställning),26,22~31,2
Sunday,Räkbomb,Räkbomb (Ej beställ),17,12~22,4
Sunday,Glutenfri Frallor,Glutenfri Pumpafralla Kalkon & Färskost(endast söndagsbeställning),16,13~19,1
Sunday,Räkstubbe,Räkstubbe,14,11~19,6
Sunday,Räkmacka Handskalade räkor,Räkmacka Handskalade Räkor,12,8~16,4
Sunday,Blandstubbe,Blandstubbe,6,4~7,2
Sunday,Stubbe,Rostbiffstubbe,6,5~9,3
Sunday,Stubbe,Ost & Skinkstubbe,5,4~7,2
Sunday,Varmrätt,Tacobolognese med fullkornspasta,4,3~6,2
Sunday,Varmrätt,Teriyakikycklingfile med basmatiris,4,3~5,2
Sunday,Varmrätt,Cevapcici med bulgur,3,3~5,2
Sunday,Varmrätt,Kycklingpestosallad,3,2~4,2
Sunday,Glutenfri Frallor,Glutenfri Ost(endast söndagsbeställning),2,1~3,2
Sunday,Varmrätt,Kycklingkebab med bulgur,2,1~2,1
Sunday,Varmrätt,Kycklingspett med ris,2,1~2,1
Tuesday,Pastasallad,Kyckling mangocurry,734,606~909,130
Tuesday,Pastasallad,Kyckling & Salladsost,586,485~734,126
Tuesday,Wraps,Kyckling Curry,564,462~709,125
Tuesday,Wraps,Kyckling Bacon,544,437~679,125
Tuesday,Wraps,Caesar Kyckling,524,433~665,124
Tuesday,Fralla,Ost & Skinka,501,416~638,119
Tuesday,Pastasallad,Räkor,496,399~633,124
Tuesday,Fralla,Ost,403,325~514,118
Tuesday,Wraps,Sweet Chili,383,310~502,116
Tuesday,Baguette,Salami & Brieost,362,282~465,122
Tuesday,Pastasallad,Ost & Skinka,358,285~455,104
Tuesday,Baguette,Skagen,306,234~403,121
Tuesday,Baguette,Ost & Skinka,288,231~387,120
Tuesday,Hönökaka,Ost & Skinka,288,222~373,102
Tuesday,Hönökaka,Ost,271,210~354,103
Tuesday,Baguette,Kyckling Curry,261,202~354,120
Tuesday,Hönökaka,Ost & Salami,243,189~314,89
Tuesday,Sandwich,Clubsandwich,235,177~320,118
Tuesday,Sandwich,Kyckling Curry,213,155~294,117
Tuesday,Sandwich,Räkor,213,155~290,111
Tuesday,Grönsallad,Caesarsallad,210,165~269,68
Tuesday,Sandwich,Bacon & Äggröra,197,142~273,104
Tuesday,XL Frallor,Ost & Skinka,175,130~225,66
Tuesday,XL Frallor,Grovfralla Kalkon & Färskost,172,125~225,71
Tuesday,Sandwich,Ägg & Avocadokräm,157,105~220,100
Tuesday,Pastasallad,Kyckling kebab,138,98~177,60
Tuesday,XL Frallor,Ost,111,83~157,58
Tuesday,Pastasallad,Italiensk kyckling,101,75~135,43
Tuesday,Pastasallad,Falafel,88,56~115,47
Tuesday,Pastasallad,Asian Surf & Turf-Nudelsallad,74,54~100,40
Tuesday,Pastasallad,Hawai Kyckling avocado,57,44~77,26
Tuesday,Pastasallad,Havana Sweetchili kyckling,49,37~68,25
Tuesday,Räkmacka Liten,Räkmacka liten,27,18~34,14
Tuesday,Glutenfri Frallor,Glutenfri Ost & Skinka(endast söndagsbeställning),26,22~31,2
Tuesday,Glutenfri Frallor,Glutenfri Pumpafralla Kalkon & Färskost(endast söndagsbeställning),16,13~19,1
Tuesday,Räkbomb,Räkbomb (Ej beställ),16,13~20,3
Tuesday,Räkstubbe,Räkstubbe,14,11~19,6
Tuesday,Räkmacka Handskalade räkor,Räkmacka Handskalade Räkor,8,6~11,3
Tuesday,Blandstubbe,Blandstubbe,6,4~7,2
Tuesday,Stubbe,Rostbiffstubbe,6,5~9,3
Tuesday,Stubbe,Ost & Skinkstubbe,5,4~7,2
Tuesday,Varmrätt,Tacobolognese med fullkornspasta,4,3~6,2
Tuesday,Varmrätt,Teriyakikycklingfile med basmatiris,4,3~5,2
Tuesday,Varmrätt,Cevapcici med bulgur,3,3~5,2
Tuesday,Varmrätt,Kycklingpestosallad,3,2~4,2
Tuesday,Glutenfri Frallor,Glutenfri Ost(endast söndagsbeställning),2,1~3,2
Tuesday,Varmrätt,Kycklingkebab med bulgur,2,1~2,1
Tuesday,Varmrätt,Kycklingspett med ris,2,1~2,1
Thursday,Pastasallad,Kyckling mangocurry,835,682~1034,139
Thursday,Pastasallad,Kyckling & Salladsost,664,522~835,135
Thursday,Wraps,Kyckling Curry,618,500~783,135
Thursday,Wraps,Kyckling Bacon,580,481~749,134
Thursday,Fralla,Ost & Skinka,568,452~719,132
Thursday,Wraps,Caesar Kyckling,564,447~715,132
Thursday,Pastasallad,Räkor,550,454~700,133
Thursday,Fralla,Ost,434,348~577,129
Thursday,Wraps,Sweet Chili,425,329~542,123
Thursday,Pastasallad,Ost & Skinka,382,310~509,110
Thursday,Baguette,Salami & Brieost,367,313~517,134
Thursday,Hönökaka,Ost & Skinka,311,262~436,113
Thursday,Baguette,Ost & Skinka,308,237~421,127
Thursday,Baguette,Skagen,308,253~442,129
Thursday,Baguette,Kyckling Curry,276,220~392,130
Thursday,Hönökaka,Ost,275,236~390,113
Thursday,Hönökaka,Ost & Salami,251,206~347,97
Thursday,Sandwich,Clubsandwich,235,189~350,124
Thursday,Grönsallad,Caesarsallad,216,178~298,73
Thursday,Sandwich,Räkor,211,174~327,117
Thursday,Sandwich,Kyckling Curry,200,163~314,122
Thursday,XL Frallor,Ost & Skinka,191,164~280,75
Thursday,Sandwich,Bacon & Äggröra,185,155~288,109
Thursday,XL Frallor,Grovfralla Kalkon & Färskost,174,152~267,77
Thursday,Sandwich,Ägg & Avocadokräm,142,129~243,101
Thursday,XL Frallor,Ost,118,93~173,64
Thursday,Pastasallad,Kyckling kebab,114,105~191,61
Thursday,Pastasallad,Italiensk kyckling,108,93~154,47
Thursday,Pastasallad,Asian Surf & Turf-Nudelsallad,82,67~126,43
Thursday,Pastasallad,Falafel,66,69~126,47
Thursday,Pastasallad,Hawai Kyckling avocado,59,47~83,28
Thursday,Pastasallad,Havana Sweetchili kyckling,49,38~72,26
Thursday,Räkmacka Liten,Räkmacka liten,30,28~50,16
Thursday,Glutenfri Frallor,Glutenfri Ost & Skinka(endast söndagsbeställning),26,21~31,2
Thursday,Glutenfri Frallor,Glutenfri Pumpafralla Kalkon & Färskost(endast söndagsbeställning),15,13~18,1
Thursday,Räkbomb,Räkbomb (Ej beställ),15,14~19,3
Thursday,Räkstubbe,Räkstubbe,15,12~20,6
Thursday,Räkmacka Handskalade räkor,Räkmacka Handskalade Räkor,10,9~14,4
Thursday,Stubbe,Ost & Skinkstubbe,5,4~6,2
Thursday,Stubbe,Rostbiffstubbe,5,3~6,3
Thursday,Blandstubbe,Blandstubbe,4,5~7,2
Thursday,Varmrätt,Tacobolognese med fullkornspasta,4,3~5,2
Thursday,Varmrätt,Cevapcici med bulgur,3,1~3,2
Thursday,Varmrätt,Teriyakikycklingfile med basmatiris,3,3~5,2
Thursday,Varmrätt,Kycklingpestosallad,2,2~4,2
