namn,weekday,weeks_with_delivery,total_weeks,frequency,is_delivery_day,demand_sum,demand_ratio
Coop  SVANDAMMSPLAN,Sunday,1,2,0.5,True,35,0.2755905511811024
Coop  SVANDAMMSPLAN,Tuesday,1,2,0.5,True,47,0.3700787401574803
Coop  SVANDAMMSPLAN,Thursday,1,2,0.5,True,45,0.3543307086614173
Coop Almunge,Sunday,1,2,0.5,True,22,0.2558139534883721
Coop Almunge,Tuesday,1,2,0.5,True,44,0.5116279069767442
Coop Almunge,Thursday,1,2,0.5,True,20,0.23255813953488372
Coop Bagarmossen,Sunday,1,2,0.5,True,90,0.43902439024390244
Coop Bagarmossen,Tuesday,1,2,0.5,True,62,0.3024390243902439
Coop Bagarmossen,Thursday,1,2,0.5,True,53,0.25853658536585367
Coop Barkarby,Sunday,1,2,0.5,True,33,0.25190839694656486
Coop Barkarby,Tuesday,1,2,0.5,True,32,0.24427480916030533
Coop Barkarby,Thursday,1,2,0.5,True,66,0.5038167938931297
Coop Bergshamra,Sunday,1,2,0.5,True,69,0.43125
Coop Bergshamra,Tuesday,1,2,0.5,True,47,0.29375
Coop Bergshamra,Thursday,1,2,0.5,True,44,0.275
Coop Björkhagen,Sunday,1,2,0.5,True,59,0.5363636363636364
Coop Björkhagen,Tuesday,1,2,0.5,True,51,0.4636363636363636
Coop Bondegatan,Sunday,1,2,0.5,True,59,0.5959595959595959
Coop Bondegatan,Tuesday,1,2,0.5,True,16,0.16161616161616163
Coop Bondegatan,Thursday,1,2,0.5,True,24,0.24242424242424243
Coop Bredden,Sunday,1,2,0.5,True,77,0.4425287356321839
Coop Bredden,Tuesday,1,2,0.5,True,23,0.13218390804597702
Coop Bredden,Thursday,1,2,0.5,True,74,0.42528735632183906
Coop Brommaplan,Sunday,1,2,0.5,True,43,0.36134453781512604
Coop Brommaplan,Tuesday,1,2,0.5,True,76,0.6386554621848739
Coop Bromsten,Sunday,1,2,0.5,True,89,0.4472361809045226
Coop Bromsten,Tuesday,1,2,0.5,True,42,0.21105527638190955
Coop Bromsten,Thursday,1,2,0.5,True,68,0.3417085427135678
Coop Bålsta,Monday,1,2,0.5,True,90,0.4945054945054945
Coop Bålsta,Wednesday,1,2,0.5,True,32,0.17582417582417584
Coop Bålsta,Friday,2,2,1.0,True,60,0.32967032967032966
Coop Centralen,Sunday,1,2,0.5,True,257,0.3141809290953545
Coop Centralen,Tuesday,1,2,0.5,True,287,0.3508557457212714
Coop Centralen,Thursday,1,2,0.5,True,274,0.33496332518337407
Coop Ekeby,Sunday,1,2,0.5,True,97,0.3730769230769231
Coop Ekeby,Tuesday,1,2,0.5,True,71,0.27307692307692305
