temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,sunshine_duration,precipitation_probability_max,date,city
-0.3,1.2,-3.7,4.5,4.5,0.0,14.4,27.4,0.0,100,2026-02-24,Stockholm
-1.3,1.4,-4.8,0.0,0.0,0.0,26.3,48.6,9005.15,24,2026-02-25,Stockholm
3.3,4.7,1.4,4.8,4.8,0.0,28.4,52.6,286.46,81,2026-02-26,Stockholm
4.3,5.5,3.3,0.1,0.1,0.0,18.9,38.2,0.0,42,2026-02-27,Stockholm
3.5,5.6,0.2,0.0,0.0,0.0,17.9,35.6,23543.61,42,2026-02-28,Stockholm
0.5,4.4,-2.5,0.0,0.0,0.0,9.6,22.7,32908.49,14,2026-03-01,Stockholm
1.0,7.1,-3.2,0.0,0.0,0.0,10.4,19.8,33507.78,17,2026-03-02,Stockholm
1.8,5.1,-1.1,0.0,0.0,0.0,15.5,32.0,34123.93,11,2026-03-03,Stockholm
2.8,5.9,-0.3,0.0,0.0,0.0,20.6,41.4,35109.6,17,2026-03-04,Stockholm
2.9,5.2,0.9,0.0,0.0,0.0,21.1,46.1,34569.7,19,2026-03-05,Stockholm
3.2,7.3,0.2,0.0,0.0,0.0,18.9,39.2,35918.75,24,2026-03-06,Stockholm
2.0,5.6,-0.6,0.0,0.0,0.0,16.6,38.9,13548.6,29,2026-03-07,Stockholm
-0.9,1.2,-4.3,0.0,0.0,0.0,23.4,55.4,30512.63,8,2026-03-08,Stockholm
-1.0,3.0,-5.5,0.0,0.0,0.0,13.7,40.7,26937.62,12,2026-03-09,Stockholm
1.5,6.4,-1.2,0.0,0.0,0.0,9.4,23.0,33238.34,14,2026-03-10,Stockholm
-0.1,3.2,-2.4,0.6,0.45,0.11,15.9,31.0,16232.5,6,2026-03-11,Stockholm
-0.6,0.9,-4.7,3.8,3.4,0.28,17.3,31.3,3569.06,100,2026-02-24,Uppsala
-3.0,0.1,-7.0,0.6,0.0,0.42,21.6,38.5,2798.4,57,2026-02-25,Uppsala
2.5,4.0,0.3,5.4,5.4,0.0,23.4,41.0,0.0,92,2026-02-26,Uppsala
3.4,4.6,2.7,0.2,0.2,0.0,20.5,37.1,0.0,49,2026-02-27,Uppsala
3.6,7.2,-1.1,0.2,0.2,0.0,20.3,38.5,32369.52,44,2026-02-28,Uppsala
0.2,5.2,-3.0,0.0,0.0,0.0,10.0,22.3,32715.39,10,2026-03-01,Uppsala
0.9,5.9,-2.0,0.0,0.0,0.0,12.5,26.6,31455.2,15,2026-03-02,Uppsala
0.7,2.8,-1.3,0.0,0.0,0.0,20.5,43.9,0.0,11,2026-03-03,Uppsala
2.1,6.2,-1.8,0.0,0.0,0.0,22.7,42.5,35056.98,18,2026-03-04,Uppsala
3.0,6.5,0.5,0.0,0.0,0.0,22.4,43.2,18803.66,23,2026-03-05,Uppsala
3.3,8.8,-0.2,0.0,0.0,0.0,17.0,37.4,35828.62,25,2026-03-06,Uppsala
2.8,7.1,0.0,0.0,0.0,0.0,18.3,40.3,32554.16,24,2026-03-07,Uppsala
-1.1,0.8,-5.3,0.0,0.0,0.0,24.7,61.6,35491.75,8,2026-03-08,Uppsala
0.2,5.2,-5.5,0.0,0.0,0.0,13.6,36.7,30986.63,13,2026-03-09,Uppsala
1.4,7.3,-1.5,0.0,0.0,0.0,10.9,23.8,35908.56,16,2026-03-10,Uppsala
0.1,3.9,-2.3,1.6,0.3,0.91,14.5,34.6,16212.37,7,2026-03-11,Uppsala
-1.4,-0.2,-3.5,4.3,0.0,3.01,25.6,45.7,0.0,100,2026-02-24,Gävle
-2.3,0.3,-5.1,0.1,0.0,0.07,22.7,41.4,0.0,74,2026-02-25,Gävle
3.2,5.0,0.5,1.9,1.9,0.0,20.5,38.2,0.0,78,2026-02-26,Gävle
4.1,5.3,3.0,0.9,0.9,0.0,20.7,41.8,0.0,41,2026-02-27,Gävle
2.9,5.9,-4.1,0.0,0.0,0.0,20.4,42.5,31022.86,40,2026-02-28,Gävle
-1.9,4.6,-7.6,0.0,0.0,0.0,12.9,23.4,32368.58,8,2026-03-01,Gävle
0.4,3.2,-3.7,0.0,0.0,0.0,17.7,38.5,9083.25,8,2026-03-02,Gävle
1.7,3.0,0.2,0.0,0.0,0.0,20.7,45.4,215.15,11,2026-03-03,Gävle
2.3,5.7,-0.9,0.0,0.0,0.0,22.1,47.2,33859.64,20,2026-03-04,Gävle
3.1,6.3,1.5,0.0,0.0,0.0,21.5,47.5,34237.28,22,2026-03-05,Gävle
